Q_ID,Policy Type,Question Category,Difficulty Level,Question,Ground Truth Answer,Source Clause / Section
,"LIC New Endowment Plan (UIN: 512N277V02)",Simple Factual,Easy,"What exactly is the 'Vested Bonus' — is it something the company decides to give me later, or is it already locked in?","A Vested Bonus is the Simple Reversionary Bonus that has already been declared by the Corporation in a previous financial year and remains permanently attached to the policy. Once declared, it forms part of the guaranteed benefits of the plan and cannot be taken away. It is not discretionary — it is already locked in.","Part B: Definitions, Clause 63"
,"LIC New Tech-Term (UIN: 512N351V01)",Simple Factual,Easy,"How many days do I have to return my LIC Tech-Term policy if I change my mind after receiving it?","The Free Look Period for LIC's New Tech-Term is 30 days from the date of receipt of the electronic or physical mode of the Policy Document, whichever is earlier. This is longer than the standard 15-day period because the plan is an online/tech-based policy. If the policy is returned within this period, the premium is refunded after deducting proportionate risk premium, medical examination charges, special report charges (if any), and stamp duty.","Part A: Free Look Period; Part D, Condition 7"
,"HDFC Life Click 2 Protect Life (UIN: 101N139V04)",Simple Factual,Easy,"Under the HDFC Click 2 Protect policy, what does 'Annualized Premium' mean — does it include GST and any extra charges my agent told me about?","No. Annualized Premium means the premium amount payable in a year chosen by the policyholder, explicitly EXCLUDING taxes, rider premiums, underwriting extra premiums, and loadings for modal premiums, if any. Any GST, extra charges, or rider costs are not part of the Annualized Premium by definition.","Part B: Definitions, Clause 3"
,"LIC New Endowment Plan (UIN: 512N277V02)",Simple Factual,Easy,"What is the minimum instalment amount I'd receive each month if I choose to get my maturity money in monthly installments under the LIC Endowment plan?","The minimum instalment amount for Monthly mode under the Settlement Option (for Maturity Benefit) is Rs. 5,000 per month. If the net claim amount opted for is less than what is required to generate this minimum monthly instalment, the entire claim proceeds will be paid as a lump sum instead.","Part D, Condition 9 (Settlement Option)"
,"LIC New Endowment Plan (UIN: 512N277V02)",Conditional Reasoning,Medium,"My husband has an LIC Endowment plan and he sadly passed away 8 months after taking it out. He paid only 1 year's premiums. Does his nominee get anything, or is the policy completely void?","If the Life Assured dies within the first year (i.e., premiums paid for less than 2 full years), the forfeiture regulations apply under a lapsed scenario — nothing is payable and premiums are not refundable IF premiums were not being paid. HOWEVER, since this is an in-force policy where the death occurred within the first year while premiums were paid up to date (i.e., the policy was in-force at time of death), the Death Benefit IS payable. The Death Benefit is the 'Sum Assured on Death' (higher of Basic Sum Assured or 7 times Annualized Premium), plus any vested bonuses, subject to the condition that it shall not be less than 105% of total premiums paid. The key distinction is that forfeiture applies only if premiums were NOT paid; if the policy was in-force at the time of death, the full death benefit is payable.","Part C, Condition 1.A (Death Benefit); Part D, Condition 2 (Forfeiture Regulations)"
,"LIC New Tech-Term (UIN: 512N351V01)",Conditional Reasoning,Medium,"I have a LIC Tech-Term plan and I committed suicide 14 months after I revived my lapsed policy. What will my family get?","Under the Regular/Limited Premium Payment policy suicide exclusion, if the Life Assured commits suicide within 12 months from the date of REVIVAL, the nominee is entitled to 80% of total premiums paid till the date of death. Since 14 months have passed since the revival — which exceeds the 12-month suicide exclusion window measured from the date of revival — this exclusion does NOT apply. Therefore, the full Death Benefit (Sum Assured on Death) would be payable to the nominee as per normal death benefit terms.","Part F, Condition 2 (Suicide Exclusion)"
,"HDFC Life Click 2 Protect Life (UIN: 101N139V04)",Conditional Reasoning,Medium,"I picked the Life & CI Rebalance option on my HDFC Click 2 Protect policy and I was just diagnosed with cancer. Will I still have life insurance after my critical illness claim is paid out?","Yes. Upon diagnosis of a covered Critical Illness (such as cancer of specified severity), the applicable Critical Illness Sum Assured (CI SA) at the time of diagnosis is paid out as a lump sum. In addition, ALL future premiums payable under the policy are WAIVED OFF. Crucially, the Life Cover continues — the Life Cover SA is fixed at the level it was at the time of the CI diagnosis and that Life Cover SA continues until the end of the Policy Term. The policy does not terminate on a CI claim.","Part C, Clause 1.I.B (Critical Illness Benefit)"
,"LIC New Endowment Plan (UIN: 512N277V02)",Conditional Reasoning,Medium,"I stopped paying premiums on my LIC Endowment policy after exactly 3 years and 6 months. My policy is now 'paid-up.' Am I still earning bonuses every year?","No. Once a policy becomes paid-up (premiums paid for at least 2 full years but subsequent premiums not paid), it ceases to participate in future profits. This means no new Simple Reversionary Bonuses will be declared and added to the policy from that point forward. However, the vested Simple Reversionary Bonuses already declared and attached to the policy before it became paid-up will remain attached and will be payable at the time of the claim (death or maturity). Final Additional Bonus (Terminal Bonus) is also NOT payable under paid-up policies.","Part C, Condition 4 (Participation in Profits); Part D, Condition 2 (Non-forfeiture Regulations)"
,"HDFC Life Click 2 Protect Life (UIN: 101N139V04)",Conditional Reasoning,Medium,"I have the HDFC Click 2 Protect policy with the Return of Premium option. I paid premiums for 3 years under a Regular Pay plan and then stopped. Do I get any money back if I surrender now?","No. For the Life Protect (Fixed Term) and Life & CI Rebalance options where Return of Premium (ROP) is selected, Unexpired Risk Premium Value is acquired only upon payment of Premiums for 2 years in case of Limited Pay or Regular Pay. Since this is a Regular Pay policy and only 3 years of premiums have been paid, the policy may have acquired some Unexpired Risk Premium Value. The Surrender Value (Unexpired Risk Premium Value) = Higher of GSV (= GSV Factor% × Total Premiums Paid − Survival Benefits or ROP instalment already paid) and SSV (= SSVF2 Factor% × Total Premiums Paid). The exact rupee amount depends on the applicable GSV Factor from Appendix 2 tables for the relevant policy term and year. However, for a standard Regular Pay policy without Income Plus or ROP: Surrender Value for Regular Premium = Nil. Therefore, if ROP is not selected and it is a regular pay policy, nothing is refunded.","Part D, Clause 1 (Unexpired Risk Premium Value); Appendix 2"
,"LIC New Tech-Term (UIN: 512N351V01)",Conditional Reasoning,Medium,"I have LIC Tech-Term with the 'Increasing Sum Assured' option and Basic Sum Assured of Rs. 50 lakhs. I die in the 12th policy year. What is the exact 'absolute amount assured to be paid on death' that forms part of my death benefit calculation?","Under Option II (Increasing Sum Assured), the absolute amount assured to be paid on death increases by 10% of Basic Sum Assured each year from the 6th policy year until the 15th policy year. For a Basic Sum Assured of Rs. 50 lakhs (Rs. X = 50L): Policy years 1–5: Rs. 50 lakhs. From year 6: increases by 10% of 50L = Rs. 5 lakhs per year. Year 6: Rs. 55L, Year 7: Rs. 60L, Year 8: Rs. 65L, Year 9: Rs. 70L, Year 10: Rs. 75L, Year 11: Rs. 80L, Year 12: Rs. 85 lakhs. Therefore, in the 12th policy year, the absolute amount assured to be paid on death is Rs. 85 lakhs. The Sum Assured on Death is then the highest of: (a) 7 × Annualized Premium, (b) 105% of Total Premiums Paid, or (c) Rs. 85 lakhs.","Part C, Condition 1.A (Death Benefit — Option II: Increasing Sum Assured)"
,"LIC New Endowment Plan (UIN: 512N277V02)",Multi-Section,Hard,"Ramesh has an in-force LIC Endowment policy with yearly premium mode. He dies during the grace period — before paying the premium that was due 20 days ago. Does his family still get the full death benefit? If yes, how is it calculated?","Yes, the policy is still valid during the grace period for yearly mode (grace period = 30 days). Since the death occurred within the 30-day grace period (20 days after due date), the policy is treated as in-force. The Death Benefit IS payable. However, two deductions apply from the claim amount: (1) The unpaid premium that was due (i.e., the one that triggered the grace period), and (2) Any balance premiums falling due from the date of death before the next policy anniversary (applicable where mode is other than yearly — since this is yearly mode, there are no further balance premiums within that anniversary year). The Death Benefit itself is: Sum Assured on Death (higher of Basic Sum Assured or 7 times Annualized Premium, and not less than 105% of total premiums paid up to date of death) + vested Simple Reversionary Bonuses + Final Additional Bonus, if any. The unpaid premium is deducted from this total.","Part C, Condition 5(b) (Payment of Premiums); Part C, Condition 6 (Grace Period); Part C, Condition 1.A (Death Benefit)"
